ID	Module	newScore	Score	LogFC	Symbol	MGI	URL	Process	Function	Component	Pathway
ENSMUSG00000055723		0.0	-3.05806745271387	0.705911134651796	Rras2	MGI:1914172	http://www.kegg.jp/dbget-bin/www_bget?mmu:66922				
ENSMUSG00000067599		0.0	-4.9551283007005	-0.19745382118104	Klra7	MGI:101901	http://www.kegg.jp/dbget-bin/www_bget?mmu:16638				
ENSMUSG00000030336		0.0	-6.14993348345477	0.0237463782108911	Cd27	MGI:88326	http://www.kegg.jp/dbget-bin/www_bget?mmu:21940				
ENSMUSG00000062070		0.0	-3.91122560868539	0.317867946894474	Pgk1	MGI:97555	http://www.kegg.jp/dbget-bin/www_bget?mmu:18655				
ENSMUSG00000021367		0.0	-4.21847762536451	-0.345406844178302	Edn1	MGI:95283	http://www.kegg.jp/dbget-bin/www_bget?mmu:13614				
ENSMUSG00000021364		0.0	-5.45112222478603	-0.121852656932771	Elovl2	MGI:1858960	http://www.kegg.jp/dbget-bin/www_bget?mmu:54326				
ENSMUSG00000031751		0.0	-3.95531980023406	0.469467698825258	Amfr	MGI:1345634	http://www.kegg.jp/dbget-bin/www_bget?mmu:23802				
ENSMUSG00000031754		0.0	-4.84892101582511	0.20314541127301	Nudt21	MGI:1915469	http://www.kegg.jp/dbget-bin/www_bget?mmu:68219				
ENSMUSG00000031207		0.0	-1.02714375219896	3.07814231978399	Msn	MGI:97167	http://www.kegg.jp/dbget-bin/www_bget?mmu:17698				
ENSMUSG00000004446		0.0	-4.13234963624289	0.50573559684362	Bid	MGI:108093	http://www.kegg.jp/dbget-bin/www_bget?mmu:12122				
ENSMUSG00000031209		0.0	-4.97017520214842	-0.175505049674736	Heph	MGI:1332240	http://www.kegg.jp/dbget-bin/www_bget?mmu:15203				
ENSMUSG00000026573		0.0	-6.06772346901888	-0.0316087388325614	Xcl1	MGI:104593	http://www.kegg.jp/dbget-bin/www_bget?mmu:16963				
